player_name,dec_pts,jan_pts
Connor McDavid,31,20
Leon Draisaitl,21,19
Nikita Kucherov,18,19
David Pastrnak,18,21
Tage Thompson,22,17
Jason Robertson,18,12
Matthew Tkachuk,14,23
Erik Karlsson,19,15
Jack Hughes,15,23
Mikko Rantanen,16,16
Ryan Nugent-Hopkins,20,15
Zach Hyman,17,20
Sidney Crosby,12,17
Kirill Kaprizov,18,14
Mitchell Marner,13,17
Kyle Connor,22,16
William Nylander,17,17
Elias Pettersson,17,14
Steven Stamkos,14,16
Rasmus Dahlin,12,17
Brayden Point,13,17
Alex Tuch,17,15
Bo Horvat,16,14
Nathan MacKinnon,6,20
Alex Ovechkin,22,9
Auston Matthews,15,11
Kevin Fiala,11,16
Josh Morrissey,17,11
Pierre-Luc Dubois,20,12
Brady Tkachuk,13,13
